"meta","author","editor","publisher"
"0601","0601, 0601; 0602, 0602","","0603, 0603"
"0602","0604, 0604; 0605, 0605","","0606, 0606"
"0603","0607, 0607; 0608, 0608","","0609, 0609"
"0604","06010, 0605; 06011, 06010","","06012, 06011"
"0605","06013, 06012; 06014, 06013","","06015, 06014"
"0606","06016, 06015; 06017, 0605","","06018, 06014"
"0607","06019, 06016; 06020, 0605","","06021, 06017"
"0608","06022, 06018; 06023, 06019","","06024, 06017"
"0609","06025, 06020; 06026, 06021","","06027, 06017"
"06010","06028, 06022; 06029, 0605","","06030, 06014"
"06011","06031, 06010; 06032, 0605","","06033, 0606"
"06012","06034, 06023; 06035, 06024","","06036, 06014"
"06013","06037, 06010; 06038, 0605","06040, 06025","06039, 06011"
"06014","06041, 06026; 06042, 06027","","06043, 06028"
"06015","06044, 06029; 06045, 0605","","06046, 06030"
"06016","06047, 06031; 06048, 0605","","06049, 06014"
"06017","06050, 0605; 06051, 06032","","06052, 0606"
"06018","06053, 06033; 06054, 06034","","06055, 06028"
"06019","06056, 0605; 06057, 06035","","06058, 06014"
"06020","06059, 06036; 06060, 0605","","06061, 06017"
