"id","meta"
"doi:10.3406/rei.1987.2206","0601"
"doi:10.1109/mic.2018.032501515","0602"
"doi:10.1080/0361526x.2018.1443651","0603"
"doi:10.3233/ds-170013","0604"
"doi:10.1007/978-3-319-07443-6_63","0605"
"doi:10.1007/978-3-642-30284-8_50","0606"
"doi:10.1016/j.cag.2011.03.039","0607"
"doi:10.2139/ssrn.1282221","0608"
"doi:10.2139/ssrn.1099081","0609"
"doi:10.1007/978-3-319-07443-6_27","06010"
"doi:10.1109/tkde.2015.2419657","06011"
"doi:10.1038/npre.2008.2310.1","06012"
"doi:10.3233/ds-170010","06013"
"doi:10.33805/2638.8073.116","06014"
"doi:10.1002/9780470495018.ch2","06015"
"doi:10.1186/s13326-016-0081-1","06016"
"doi:10.1109/mic.2012.122","06017"
"doi:10.33805/2638-8073.116","06018"
"doi:10.1186/1471-2105-3-13","06019"
"doi:10.1016/j.jbi.2008.05.001","06020"
"issn:0154-3229","06021"
"issn:1089-7801","06022"
"issn:0361-526X","06023"
"issn:1541-1095","06024"
"issn:2451-8492","06025"
"issn:2451-8484","06026"
"issn:0097-8493","06027"
"issn:1556-5068","06028"
"issn:1041-4347","06029"
"issn:1756-0357","06030"
"issn:2638-8073","06031"
"issn:2041-1480","06032"
"issn:2638-812X","06033"
"issn:1471-2105","06034"
"issn:1532-0464","06035"
